QS_UNIT,UnitCO,Unit,Figure,SI,Sibar,Imperial,MKS,ENG Info,ENG Info short,Lengs,JPN Info,JPN Info short,Lengs,DEU Info,DEU Info short,Lengs,FRA Info,FRA Info short,Lengs,CHN Info,CHN Info short,Lengs,CHN Trad Info,CHN Trad Info short,Lengs,KOR Info,KOR Info short,Lengs,ESP Info,ESP Info short,Lengs,RUS Info,RUS Info short,Lengs,PORT Info,PORT Info short,Lengs,TURKISH Info,TURKISH Info short,Lengs,POL Info,POL Info Short,Lengs,ITAL Info,ITAL Info Short,Lengs,ESP EU Info,ESP EU Info short,Lengs,NHL Info,NHL Info short,Lengs,THAI Info,THAI Info short,Lengs, ,,,FunctionName,To SI Value,From SI Value,,
,1401,m³/h,3,0,0,0,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,m3min_m3h,1/60,60,,
,1402,l/min,2,0,0,0,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,m3min_lmin,1/1000.0,1000,,
,1403,CFM,2,0,0,1,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,m3min_CFM,0.02832,1/0.02832,,
,1500,Nm³/min,2,0,0,0,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,,1,1,UnitVolRateN,
,1501,Nm³/h,2,0,0,0,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,m3min_m3h,1/60,60,,
,1502,Nl/min,2,0,0,0,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,m3min_lmin,1/1000.0,1000,,
,1503,SCFM (@0°C/32°F),2,0,0,1,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,m3min_CFM,0.02832,1/0.02832,,
,1600,kg/h,1,0,0,0,0,Flow Rate (Weight),Flow Rate (Weight),19,（質量）流量,,,Durchsatz (Menge),,,Débit (poids),,,流量（重量）,,,流量（重量）,,,(질량)유량,,,Rango de Flujo (Peso),Rango Flujo (Peso),,Расход,,,Vazão (Massa),,,Debi (Ağırlık),,,Przepływ (masowy),,,Portata (peso),,,Flujo (peso),Flujo (peso),,Debiet (gewicht),,,อัตราการไหล (น้ำหนัก),,,,,,,1,1,UnitWeightRate,
,1601,t(metric)/h,2,0,0,0,0,Flow Rate (Weight),Flow Rate (Weight),19,（質量）流量,,,Durchsatz (Menge),,,Débit (poids),,,流量（重量）,,,流量（重量）,,,(질량)유량,,,Rango de Flujo (Peso),Rango Flujo (Peso),,Расход,,,Vazão (Massa),,,Debi (Ağırlık),,,Przepływ (masowy),,,Portata (peso),,,Flujo (peso),Flujo (peso),,Debiet (gewicht),,,อัตราการไหล (น้ำหนัก),,,,,,kgh_th,1000,1/1000,,
,1602,lb/h,1,0,0,1,0,Flow Rate (Weight),Flow Rate (Weight),19,（質量）流量,,,Durchsatz (Menge),,,Débit (poids),,,流量（重量）,,,流量（重量）,,,(질량)유량,,,Rango de Flujo (Peso),Rango Flujo (Peso),,Расход,,,Vazão (Massa),,,Debi (Ağırlık),,,Przepływ (masowy),,,Portata (peso),,,Flujo (peso),Flujo (peso),,Debiet (gewicht),,,อัตราการไหล (น้ำหนัก),,,,,,kgh_lbh,0.45359,1/0.45359,,
,1700,m³/kg,5,0,0,0,0,Specific Volume,Specific Volume,19,比体積,,,Spez. Volumen,,,Volume spécifique,,,比容,,,比容,,,비체적,,,Volumen Específico,Vol. Esp.,,Удельнаый объем,,,Volume específico ,,,Özgül Hacim,,,Objętość właściwa,,,Volume specifico,,,Volumen específico,Vol. esp.,,Soortelijk volume,,,ความจุจำเพาะ,,,,,,,1,1,UnitSpecVol,
,1701,ft³/lb,5,0,0,1,0,Specific Volume,Specific Volume,19,比体積,,,Spez. Volumen,,,Volume spécifique,,,比容,,,比容,,,비체적,,,Volumen Específico,Vol. Esp.,,Удельнаый объем,,,Volume específico ,,,Özgül Hacim,,,Objętość właściwa,,,Volume specifico,,,Volumen específico,Vol. esp.,,Soortelijk volume,,,ความจุจำเพาะ,,,,,,m3kg_ft3lb,0.02832/0.45359,0.45359/0.02832,,
,1800,kg/m³,5,0,0,0,0,Specific Weight,Specific Weight,19,比重量,,,Spez. Gewicht,,,Poids spécifique,,,比容,,,比容,,,비중량,,,Peso Específico,Peso Esp.,,Удельнаый объем,,,Peso específico,,,Özgül Ağırlık,,,Ciężar właściwy,,,Peso specifico,,,Peso específico,Peso esp.,,Soortelijk gewicht,,,น้ำหนักจำเพาะ,,,,,,,1,1,UnitSpecWeight,
,1801,lb/ft³,5,0,0,1,0,Specific Weight,Specific Weight,19,比重量,,,Spez. Gewicht,,,Poids spécifique,,,比容,,,比容,,,비중량,,,Peso Específico,Peso Esp.,,Удельнаый объем,,,Peso específico,,,Özgül Ağırlık,,,Ciężar właściwy,,,Peso specifico,,,Peso específico,Peso esp.,,Soortelijk gewicht,,,น้ำหนักจำเพาะ,,,,,,kgm3_,16.02,1/16.02,,
,1900,kJ/kg,3,0,0,0,0,Specific Enthalpy,Specific Enthalpy,19,比ｴﾝﾀﾙﾋﾟ,,,Spez. Enthalpie,,,Enthalpie spécifique,,,热焓,,,熱焓,,,비엔탈피,,,Entalpía Específica,Entalpía Esp.,,Теплосодержание,,,Entalpia específica,,,Özgül Entalpi,,,Entalpia właściwa,,,Entalpia specifica,,,Entalpía específica,Entalpía esp.,,Soortelijke enthalpie,,,เอนทัลปีจำเพาะ,,,,,,,1,1,UnitSpecEnt,
,1901,MJ/kg,3,0,0,0,0,Specific Enthalpy,Specific Enthalpy,19,比ｴﾝﾀﾙﾋﾟ,,,Spez. Enthalpie,,,Enthalpie spécifique,,,热焓,,,熱焓,,,비엔탈피,,,Entalpía Específica,Entalpía Esp.,,Теплосодержание,,,Entalpia específica,,,Özgül Entalpi,,,Entalpia właściwa,,,Entalpia specifica,,,Entalpía específica,Entalpía esp.,,Soortelijke enthalpie,,,เอนทัลปีจำเพาะ,,,,,,,1000,1/1000,,
,1902,kcal/kg,3,0,0,0,1,Specific Enthalpy,Specific Enthalpy,19,比ｴﾝﾀﾙﾋﾟ,,,Spez. Enthalpie,,,Enthalpie spécifique,,,热焓,,,熱焓,,,비엔탈피,,,Entalpía Específica,Entalpía Esp.,,Теплосодержание,,,Entalpia específica,,,Özgül Entalpi,,,Entalpia właściwa,,,Entalpia specifica,,,Entalpía específica,Entalpía esp.,,Soortelijke enthalpie,,,เอนทัลปีจำเพาะ,,,,,,kJkg_kcalkg,4.186,1/4.186,,
,1903,BTU/lb,3,0,0,1,0,Specific Enthalpy,Specific Enthalpy,19,比ｴﾝﾀﾙﾋﾟ,,,Spez. Enthalpie,,,Enthalpie spécifique,,,热焓,,,熱焓,,,비엔탈피,,,Entalpía Específica,Entalpía Esp.,,Теплосодержание,,,Entalpia específica,,,Özgül Entalpi,,,Entalpia właściwa,,,Entalpia specifica,,,Entalpía específica,Entalpía esp.,,Soortelijke enthalpie,,,เอนทัลปีจำเพาะ,,,,,,kJkg_BTUlb,2.205/0.9478,0.9478/2.205,,
,2000,W/m K,3,0,0,0,0,Thermal Conductivity Coefficient ,Conductivity Coeff,19,熱伝導率,,,Wärmeleitzahl,,,Coefficient de conductivité,,,热导率,,,熱導率,,,열전도율,,,Coeficiente de Conductividad Térmica,Coef. Conductividad Term.,,Коэффициент теплопроводности,,,Coeficiente de condutividade térmica,,,Isıl İletkenlik Katsayısı,,,Współczynnik przewodzenia ciepła,,,Coefficiente di conduttività termica,,,Coeficiente de conductividad térmica,Coef. conductividad term.,,Coëfficiënt thermische geleiding ,,,สัมประสิทธิ์การนำความร้อน,,,,,,,1,1,UnitThermalCond,
,2001,kcal/hr m C,5,1,0,0,1,Thermal Conductivity Coefficient ,Conductivity Coeff,19,熱伝導率,,,Wärmeleitzahl,,,Coefficient de conductivité,,,热导率,,,熱導率,,,열전도율,,,Coeficiente de Conductividad Térmica,Coef. Conductividad Term.,,Коэффициент теплопроводности,,,Coeficiente de condutividade térmica,,,Isıl İletkenlik Katsayısı,,,Współczynnik przewodzenia ciepła,,,Coefficiente di conduttività termica,,,Coeficiente de conductividad térmica,Coef. conductividad term.,,Coëfficiënt thermische geleiding ,,,สัมประสิทธิ์การนำความร้อน,,,,,,WmK_kcalhrmC,1/0.86,0.86,,
,2002,BTU/ft h F,3,0,0,1,0,Thermal Conductivity Coefficient ,Conductivity Coeff,19,熱伝導率,,,Wärmeleitzahl,,,Coefficient de conductivité,,,热导率,,,熱導率,,,열전도율,,,Coeficiente de Conductividad Térmica,Coef. Conductividad Term.,,Коэффициент теплопроводности,,,Coeficiente de condutividade térmica,,,Isıl İletkenlik Katsayısı,,,Współczynnik przewodzenia ciepła,,,Coefficiente di conduttività termica,,,Coeficiente de conductividad térmica,Coef. conductividad term.,,Coëfficiënt thermische geleiding ,,,สัมประสิทธิ์การนำความร้อน,,,,,,WmK_BTUfthF,1/0.5779,0.5779,,
,2100,kPaG,1,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,,,,,
,2101,MPaG,2,0,1,0,1,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_MPaG,,,,
,2102,psiG,1,0,0,1,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_psiG,,,,
,2103,barG,2,1,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_barG,,,,
,2104,kg/cm²G,1,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_kgcm2G,,,,
,2200,kPa,1,0,0,0,0,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,,,,,
,2201,MPa,2,0,1,0,1,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,kPa_MPa,,,,
,2202,psi,1,0,0,1,0,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,kPa_psi,,,,
,2203,bar,2,1,0,0,0,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,kPa_bar,,,,
,2204,kg/cm²,1,0,0,0,0,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,kPa_kgcm2,,,,
,2300,$/ton,1,1,1,0,1,Steam Cost,Steam Cost,19,蒸気単価,,,Dampfkosten,,,Coût de la vapeur,,,蒸汽成本,,,蒸汽成本,,,증기단가,,,Costo de Vapor,Costo Vapor,,Стоимость пара,,,Custo do vapor,,,Buhar Maliyeti,,,Koszt pary,,,Costo del vapore,,,Coste de vapor,Costo vapor,,Stoomkosten,,,ค่าไอน้ำ,,,,,,,1,1,,
,2301,$/1000lb,1,0,0,1,0,Steam Cost,Steam Cost,19,蒸気単価,,,Dampfkosten,,,Coût de la vapeur,,,蒸汽成本,,,蒸汽成本,,,증기단가,,,Costo de Vapor,Costo Vapor,,Стоимость пара,,,Custo do vapor,,,Buhar Maliyeti,,,Koszt pary,,,Costo del vapore,,,Coste de vapor,Costo vapor,,Stoomkosten,,,ค่าไอน้ำ,,,,,,Yenkg_Yenlb,0.45359,1/0.45359,,
,2400,m³/h,2,0,0,0,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,,1,1,UnitVolRate,
,2401,l/h,2,0,0,0,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,m3h_lh,1/1000.0,1000,,
,2402,gal/h,2,0,0,1,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,m3h_gal,1/264.2,264.2,,
,2403,GPM,2,0,0,1,0,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,m3h_GPM,1/(264.2/60),264.2/60,,
,2500,%,2,0,0,0,0,Percent,Percent,19,比率,,,Prozent,,,Pourcent,,,百分比,,,百分比,,,비율,,,Porcentaje,%,,Процент,,,Percentual ,,,Yüzde,,,Procent,,,Percentuale,,,Porcentaje,%,,Procent,,,เปอร์เซ็นต์,,,,,,,1,1,,
,2600,Cv(US),1,0,0,1,0,Cv Value,Cv Value,19,Cv値,,,Kv-Wert,,,Valeur Cv,,,Cv值,,,Cv值,,,Cv치,,,Valor de Cv,Valor Cv,,Значение Кv,,,Valor do Cv,,,Cv Değeri,,,Wartość Cv,,,Valore di Cv,,,Valor de Cv,Valor Cv,,Cv-waarde,,,ค่า Cv,,,,,,,1,1,,
,2601,Cv(UK),1,0,0,0,1,Cv Value,Cv Value,19,Cv値,,,Kv-Wert,,,Valeur Cv,,,Cv值,,,Cv值,,,Cv치,,,Valor de Cv,Valor Cv,,Значение Кv,,,Valor do Cv,,,Cv Değeri,,,Wartość Cv,,,Valore di Cv,,,Valor de Cv,Valor Cv,,Cv-waarde,,,ค่า Cv,,,,,,CvUS_CvUK,1/0.833,0.833,,
,2602,Kv,1,1,1,0,0,Cv Value,Cv Value,19,Cv値,,,Kv-Wert,,,Valeur Cv,,,Cv值,,,Cv值,,,Cv치,,,Valor de Cv,Valor Cv,,Значение Кv,,,Valor do Cv,,,Cv Değeri,,,Wartość Cv,,,Valore di Cv,,,Valor de Cv,Valor Cv,,Cv-waarde,,,ค่า Cv,,,,,,CvUS_Kv,1/0.857,0.857,,
,2700,$/MJ,4,0,0,0,0,Energy Unit Cost,Energy Unit Cost,19,熱量単価,,,Energiekosten,,,Coût unitaire de l'énergie,,,单位能耗成本,,,單位能耗成本,,,열량단가,,,Costo Unitario de Energía,Costo Unit. Energía,,Стоимость выработки энергии,,,Custo unitário da energia,,,Enerji Birim Maliyeti,,,Koszt jednostki energii,,,Costo unitario dell'energia,,,Coste por unidad de energía,Costo unit. energía,,Kosten energie-eenheid,,,ต้นทุนต่อหน่วยของพลังงาน,,,,,,,1,1,,
,2701,$/Mcal,4,0,0,0,1,Energy Unit Cost,Energy Unit Cost,19,熱量単価,,,Energiekosten,,,Coût unitaire de l'énergie,,,单位能耗成本,,,單位能耗成本,,,열량단가,,,Costo Unitario de Energía,Costo Unit. Energía,,Стоимость выработки энергии,,,Custo unitário da energia,,,Enerji Birim Maliyeti,,,Koszt jednostki energii,,,Costo unitario dell'energia,,,Coste por unidad de energía,Costo unit. energía,,Kosten energie-eenheid,,,ต้นทุนต่อหน่วยของพลังงาน,,,,,,YenkJ_kcal,1/4.186,4.186,,
,2702,$/1000BTU,4,0,0,1,0,Energy Unit Cost,Energy Unit Cost,19,熱量単価,,,Energiekosten,,,Coût unitaire de l'énergie,,,单位能耗成本,,,單位能耗成本,,,열량단가,,,Costo Unitario de Energía,Costo Unit. Energía,,Стоимость выработки энергии,,,Custo unitário da energia,,,Enerji Birim Maliyeti,,,Koszt jednostki energii,,,Costo unitario dell'energia,,,Coste por unidad de energía,Costo unit. energía,,Kosten energie-eenheid,,,ต้นทุนต่อหน่วยของพลังงาน,,,,,,YenkJ_BTU,1/1.055,1.055,,
,2800,sec,0,0,0,0,0,Time,Time,19,時間,,,Zeit,,,Temps,,,时间,,,時間,,,시간,,,Tiempo,Tiempo,,Время,,,Tempo ,,,Zaman,,,Czas,,,Tempo,,,Tiempo,Tiempo,,Tijd,,,เวลา,,,,,,,1,1,,
,2801,min,2,1,1,1,1,Time,Time,19,時間,,,Zeit,,,Temps,,,时间,,,時間,,,시간,,,Tiempo,Tiempo,,Время,,,Tempo ,,,Zaman,,,Czas,,,Tempo,,,Tiempo,Tiempo,,Tijd,,,เวลา,,,,,,sec_min,60,1/60.0,,
,2802,h,2,0,0,0,0,Time,Time,19,時間,,,Zeit,,,Temps,,,时间,,,時間,,,시간,,,Tiempo,Tiempo,,Время,,,Tempo ,,,Zaman,,,Czas,,,Tempo,,,Tiempo,Tiempo,,Tijd,,,เวลา,,,,,,sec_h,3600,1/3600.0,,
,2900,x1000$/m³,0,1,1,0,1,Insulation and Labor Costs,Insltn & Labor Cost,19,施工費,,,Isolier- & Arbeitskosten,,,Coût de calorifugeage et de main d'œuvre,,,保温及人工成本,,,保溫及人工成本,,,시공비,,,Costos de Aislamiento y Mano de Obra,Costos Aislamiento & Mano Obra,,Изоляционные и трудовые затраты,,,Isolamento e custos de mão de obra,,,Yalıtım ve İşçilik Maliyetleri,,,Izolacja oraz koszty robocizny,,,Isolamento e costo manodopera,,,Costes de aislamiento y mano de obra,Costes aislamiento & mano obra,,Isolatie- en arbeidskosten,,,ฉนวนและค่าแรง,,,,,,,1,1,,
,2901,x1000$/ft³,0,0,0,1,0,Insulation and Labor Costs,Insltn & Labor Cost,19,施工費,,,Isolier- & Arbeitskosten,,,Coût de calorifugeage et de main d'œuvre,,,保温及人工成本,,,保溫及人工成本,,,시공비,,,Costos de Aislamiento y Mano de Obra,Costos Aislamiento & Mano Obra,,Изоляционные и трудовые затраты,,,Isolamento e custos de mão de obra,,,Yalıtım ve İşçilik Maliyetleri,,,Izolacja oraz koszty robocizny,,,Isolamento e costo manodopera,,,Costes de aislamiento y mano de obra,Costes aislamiento & mano obra,,Isolatie- en arbeidskosten,,,ฉนวนและค่าแรง,,,,,,Yenm3_Dollft3,35.31,1/35.31,,
,3000,g/kg,1,1,1,0,1,Absolute Humidity,Absolute Humidity,19,絶対湿度,,,Absolute Feuchte,,,Humidité absolue,,,绝对湿度,,,絕對濕度,,,절대습도,,,Húmedad Absoluta,Húmedad Abs.,,Абсолютная влажность,,,Humidade absoluta,,,Mutlak Nem,,,Wilgotność bezwzględna,,,Umidità assoluta,,,Humedad absoluta,Húmedad abs.,,Absolute vochtigheid,,,ความชื้นสัมบูรณ์,,,,,,,1,1,,
,3001,lb/lb,3,0,0,1,0,Absolute Humidity,Absolute Humidity,19,絶対湿度,,,Absolute Feuchte,,,Humidité absolue,,,绝对湿度,,,絕對濕度,,,절대습도,,,Húmedad Absoluta,Húmedad Abs.,,Абсолютная влажность,,,Humidade absoluta,,,Mutlak Nem,,,Wilgotność bezwzględna,,,Umidità assoluta,,,Humedad absoluta,Húmedad abs.,,Absolute vochtigheid,,,ความชื้นสัมบูรณ์,,,,,,gkg_lblb,1/1000,1000,,
,3100,x1000$/yr,0,0,0,0,0,Recovered Value,Recovered Value,19,回収メリット,,,Zurückgew. Betrag,,,Montant récupéré,,,年回报,,,年回報,,,회수메리트,,,Valor Recuperado,Valor Rec.,,Возвращенное значение,,,Valores recuperados,,,Geri Kazanılmış Değer,,,Wartości odzyskane,,,Valore recuperato,,,Valor recuperado,Valor rec.,,Terugwinningswaarde,,,ค่ากลับคืน,,,,,,,1,1,,
,3200,kg/yr,0,0,0,0,0,Annual Fuel Savings,Annual Fuel Savings,19,年間節約量,,,Jährl. Brennstoffeinsparung,,,Economies annuelles de fuel,,,年节约燃料量,,,年節約燃料量,,,년간절약량,,,Ahorros de Combustible Anual,Ahorro Comb. Anual,,Ежегодная экономия топлива,,,Valor anual de economia de combustível ,,,Yıllık Yakıt Tasarrufu,,,Roczne oszczędności paliwa,,,Risparmio annuale di carburante,,,Ahorro de combustible annual,Ahorro comb. anual,,Jaarlijkse brandstofbesparing,,,การประหยัดเชื้อเพลิงประจำปี,,,,,,,1,1,,
,3201,lb/yr,0,0,0,1,0,Annual Fuel Savings,Annual Fuel Savings,19,年間節約量,,,Jährl. Brennstoffeinsparung,,,Economies annuelles de fuel,,,年节约燃料量,,,年節約燃料量,,,년간절약량,,,Ahorros de Combustible Anual,Ahorro Comb. Anual,,Ежегодная экономия топлива,,,Valor anual de economia de combustível ,,,Yıllık Yakıt Tasarrufu,,,Roczne oszczędności paliwa,,,Risparmio annuale di carburante,,,Ahorro de combustible annual,Ahorro comb. anual,,Jaarlijkse brandstofbesparing,,,การประหยัดเชื้อเพลิงประจำปี,,,,,,kgyr_lbyr,0.45359,2.205,,
,3300,$/ton,2,1,1,0,1,Fuel Unit Cost,Fuel Unit Cost,19,燃料単価,,,Brennstoffkosten,,,Coût du Fuel ,,,单位燃料成本,,,單位燃料成本,,,연료단가,,,Costo Unitario de Combustible,Costo Unit. Comb.,,Стоимость топлива,,,Custo unitário do combustível ,,,Yakıt Birim Maliyeti,,,Koszt jednostki paliwa,,,Costo unitario del carburante,,,Coste por unidad de combustible,Coste unit. comb.,,Kosten brandstofeenheid,,,ต้นทุนต่อหน่วยของเชื้อเพลิง,,,,,,,1,1,,
,3301,$/1000lb,2,0,0,1,0,Fuel Unit Cost,Fuel Unit Cost,19,燃料単価,,,Brennstoffkosten,,,Coût du Fuel ,,,单位燃料成本,,,單位燃料成本,,,연료단가,,,Costo Unitario de Combustible,Costo Unit. Comb.,,Стоимость топлива,,,Custo unitário do combustível ,,,Yakıt Birim Maliyeti,,,Koszt jednostki paliwa,,,Costo unitario del carburante,,,Coste por unidad de combustible,Coste unit. comb.,,Kosten brandstofeenheid,,,ต้นทุนต่อหน่วยของเชื้อเพลิง,,,,,,Yenkg_Yenlb,0.45359,1/0.45359,,
,3400,yr,2,0,0,0,0,Time,Time,19,時間,,,Zeit,,,Temps,,,时间,,,時間,,,시간,,,Tiempo,Tiempo,,Время,,,Tempo,,,Zaman,,,Czas,,,Tempo,,,Tiempo,Tiempo,,Tijd,,,เวลา,,,,,,sec_year,31104000,1/31104000.0,,
,3500,°C,1,0,0,0,0,Temperature (Difference),Temperature (Diff),19,温度差,,,Temperaturdifferenz,,,Température (Diff),,,温度,,,溫度,,,온도차,,,Temperatura (Diferencia),Temp.(Dif.),,Температура,,,Temperatura (diferença),,,Sıcaklık (Fark),,,Różnica temperatury,,,Temperatura (differenza),,,Temperatura (diferencia),Temp.(dif.),,Temperatuur (verschil),,,อุณหภูมิ (ความแตกต่าง),,,,,,,1,1,UnitTemp,
